ID,Fecha,Fecha Envío,Fecha Entrega,Cliente,SKU,Cantidad,Precio Unitario USD,Subtotal USD,Descuento %,Impuesto USD,Total USD,Método de Pago,Canal de Venta,Almacén Origen,Transporte,Número Tracking,Estado,Observaciones
VENT-0001,2024-01-25,2024-01-28,2024-02-01,CLI-008,SKU-0007,33.0,274.96,9073.68,10.4,1451.79,9581.81,Efectivo,Marketplace,ALM-08,TR-012,TRK7965460607,Pendiente,Requiere seguimiento
VENT-0002,2025-05-14,2025-05-17,2025-05-27,CLI-007,SKU-0133,38.0,198.64,7548.32,8.8,1207.73,8091.8,PayPal,Web,ALM-09,TR-024,TRK3173028996,Completada,Urgente
VENT-0003,2024-09-30,2024-10-01,2024-10-03,CLI-043,SKU-0170,46.0,451.89,20786.94,14.5,3325.91,21098.74,Mercado Pago,Teléfono,ALM-02,TR-020,TRK6943760313,Cancelada,
VENT-0004,2025-03-04,2025-03-05,2025-03-11,CLI-006,SKU-0012,20.0,109.69,2193.8,2.7,351.01,2485.58,Mercado Pago,Teléfono,ALM-07,TR-018,TRK7735311158,Completada,
VENT-0005,2024-03-08,2024-03-09,2024-03-16,CLI-009,SKU-0042,3.0,312.41,937.23,9.7,149.96,996.28,Transferencia,App Móvil,ALM-08,TR-004,TRK9933401102,Devuelta,Requiere seguimiento
VENT-0006,2024-09-21,2024-09-23,2024-10-02,CLI-079,SKU-0187,24.0,780.48,18731.52,19.1,2997.04,18150.84,Stripe,Presencial,ALM-09,TR-005,TRK8226718114,Completada,
VENT-0007,2024-11-03,2024-11-06,2024-11-15,CLI-003,SKU-0112,31.0,317.75,9850.25,18.8,1576.04,9574.44,Cheque,Web,ALM-10,TR-010,TRK2106565172,Completada,
VENT-0008,2025-12-15,2025-12-17,2025-12-22,CLI-029,SKU-0064,30.0,824.14,24724.2,18.5,3955.87,24106.09,Stripe,E-commerce,ALM-07,TR-019,TRK6717516887,Completada,
VENT-0009,2026-03-04,2026-03-06,2026-03-19,CLI-021,SKU-0160,31.0,858.79,26622.49,13.3,4259.6,27341.3,Tarjeta de crédito,E-commerce,ALM-07,TR-014,TRK5956589581,Devuelta,
VENT-0010,2025-05-18,2025-05-21,2025-05-28,CLI-043,SKU-0095,8.0,346.41,2771.28,9.7,443.4,2945.87,Transferencia,E-commerce,ALM-07,TR-008,TRK2230368944,Completada,Requiere seguimiento
